,id,Адрес,Название достопримечательности,Общая оценка,Кол-во отзывов,Тип достопримечательности,Достопримечательность,adress_for_scrap,Широта,Долгота
21,21,"Omer Avni Mh., Dolmabahce Cd. Right beside Dolmabahce Palace, Стамбул 34357 Турция",Dolmabahce Mosque,4.5,99 отзывов,Исторические достопримечательности,22. Dolmabahce Mosque,"Dolmabahce Mosque, Istanbul, Turkiye",41.03677475,28.9952337467916
22,22,Посетить веб-сайт,Hidiv Kasri,4.0,115 отзывов,Исторические достопримечательности,23. Hidiv Kasri,"Hidiv Kasri, Istanbul, Turkiye",41.10504295,29.073870551076386
23,23,"Tophanelioglu Cad. No:19, Стамбул 34662 Турция",Adile Sultan Kasri,4.0,72 отзыва,Исторические достопримечательности,24. Adile Sultan Kasri,"Adile Sultan Kasri, Istanbul, Turkiye",41.01362075,29.041940790329534
24,24,"Nakilbent Sokak, No: 13, Стамбул 34122 Турция",Cistern Art Gallery,4.5,29 отзывов,Художественные галереи,25. Cistern Art Gallery,"Cistern Art Gallery, Istanbul, Turkiye",,
25,25,Подробнее,Fountain of Ahmet III,4.0,142 отзыва,Исторические достопримечательности,26. Fountain of Ahmet III,"Fountain of Ahmet III, Istanbul, Turkiye",41.0082875,28.9812474
26,26,Подробнее,St. Esprit Cathedral,4.5,22 отзыва,Исторические достопримечательности,27. St. Esprit Cathedral,"St. Esprit Cathedral, Istanbul, Turkiye",,
27,27,Подробнее,Serpent Column,4.0,248 отзывов,Исторические достопримечательности,28. Serpent Column,"Serpent Column, Istanbul, Turkiye",41.0056649,28.9751101
28,28,Позвонить,Florya Ataturk Marine Mansion,4.5,35 отзывов,Исторические достопримечательности,29. Florya Ataturk Marine Mansion,"Florya Ataturk Marine Mansion, Istanbul, Turkiye",,
29,29,"Atmeydani Cd No: 17-31, Стамбул 34110 Турция",Sultanahmet Meydani,4.5,16 отзывов,Исторические достопримечательности,30. Sultanahmet Meydani,"Sultanahmet Meydani, Istanbul, Turkiye",41.0065157,28.975977312001497
30,30,Подробнее,1001 Direk Sarnici,3.5,115 отзывов,Исторические достопримечательности,31. 1001 Direk Sarnici,"1001 Direk Sarnici, Istanbul, Turkiye",,
31,31,Подробнее,Clock Tower Dolmabahce,4.5,79 отзывов,Исторические достопримечательности,32. Clock Tower Dolmabahce,"Clock Tower Dolmabahce, Istanbul, Turkiye",41.0376577,28.996363092567933
32,32,,Walls of Theodosius,4.0,45 отзывов,Исторические достопримечательности,33. Walls of Theodosius,"Walls of Theodosius, Istanbul, Turkiye",,
33,33,,Tower of Beyazit,4.0,39 отзывов,Исторические достопримечательности,34. Tower of Beyazit,"Tower of Beyazit, Istanbul, Turkiye",,
34,34,Подробнее,Galatasaray High School (Galatasaray Lisesi),4.5,22 отзыва,Исторические достопримечательности,35. Galatasaray High School (Galatasaray Lisesi),"Galatasaray High School (Galatasaray Lisesi), Istanbul, Turkiye",41.03281785,28.978789311224716
35,35,,Yenikapi Mevlevihanesi,4.5,19 отзывов,Исторические достопримечательности,36. Yenikapi Mevlevihanesi,"Yenikapi Mevlevihanesi, Istanbul, Turkiye",,
36,36,Подробнее,Neve Shalom Synagogue,4.5,27 отзывов,Исторические достопримечательности,37. Neve Shalom Synagogue,"Neve Shalom Synagogue, Istanbul, Turkiye",41.0266963,28.9724737
37,37,,Maglova Su Kemeri,5.0,11 отзывов,Исторические достопримечательности,38. Maglova Su Kemeri,"Maglova Su Kemeri, Istanbul, Turkiye",,
38,38,"Sultan Ahmet, Ayasofya Meydanı No:1, Стамбул 34122 Турция",Ayasofya Camii,5.0,3 отзыва,Исторические достопримечательности,39. Ayasofya Camii,"Ayasofya Camii, Istanbul, Turkiye",41.00273105,28.972193288540197
39,39,Подробнее,Hunkar Kasri,4.5,16 отзывов,Исторические достопримечательности,40. Hunkar Kasri,"Hunkar Kasri, Istanbul, Turkiye",41.0485122,28.91663192955975
40,40,"Mimar Hayrettin Mahallesi, Kadirga Limani Cad. No: 15 Kumkapi, Fatih, Стамбул 34130 Турция",Aya Kiryaki Kilisesi,4.5,10 отзывов,Исторические достопримечательности,41. Aya Kiryaki Kilisesi,"Aya Kiryaki Kilisesi, Istanbul, Turkiye",41.00478579999999,28.96615483217306
41,41,Подробнее,Sehzade Mehmet Turbesi,4.5,10 отзывов,Исторические достопримечательности,42. Sehzade Mehmet Turbesi,"Sehzade Mehmet Turbesi, Istanbul, Turkiye",,
42,42,Подробнее,Caferaga Madrasa - Handicrafts Center,4.5,22 отзыва,Художественные галереи,43. Caferaga Madrasa - Handicrafts Center,"Caferaga Madrasa - Handicrafts Center, Istanbul, Turkiye",,
43,43,"Hamidiye Cad. No:2 Hobyar Mah., Стамбул 34112 Турция",Sultan I Abdulhamit Turbesi,4.5,6 отзывов,Исторические достопримечательности,44. Sultan I Abdulhamit Turbesi,"Sultan I Abdulhamit Turbesi, Istanbul, Turkiye",,
44,44,"Saridemir Mah. Ragip Gumuspala Cad. No: 12, Стамбул 34134 Турция",Ahi Ahmet Celebi Cami,4.5,28 отзывов,Исторические достопримечательности,45. Ahi Ahmet Celebi Cami,"Ahi Ahmet Celebi Cami, Istanbul, Turkiye",,
45,45,Подробнее,Narmanli Han,4.5,13 отзывов,Исторические достопримечательности,46. Narmanli Han,"Narmanli Han, Istanbul, Turkiye",41.02923165,28.97496472806916
46,46,"Kargı Sokak Aksaray Mah. Kargı Çıkmazı No: 3 Fatih/i̇stanbul., Стамбул 34096 Турция",Bulgur Palas,5.0,3 отзыва,Исторические достопримечательности,47. Bulgur Palas,"Bulgur Palas, Istanbul, Turkiye",41.00701125,28.94392819766187
47,47,Подробнее,Saint Pierre Church,4.0,12 отзывов,Исторические достопримечательности,48. Saint Pierre Church,"Saint Pierre Church, Istanbul, Turkiye",,
48,48,Подробнее,Hagios Nikolaos Greek Orthodox Church,4.0,11 отзывов,Исторические достопримечательности,49. Hagios Nikolaos Greek Orthodox Church,"Hagios Nikolaos Greek Orthodox Church, Istanbul, Turkiye",,
49,49,Подробнее,Valide-i Atik Kulliyesi,4.5,14 отзывов,Исторические достопримечательности,50. Valide-i Atik Kulliyesi,"Valide-i Atik Kulliyesi, Istanbul, Turkiye",,
50,50,Подробнее,Union Church of Istanbul,4.5,13 отзывов,Исторические достопримечательности,51. Union Church of Istanbul,"Union Church of Istanbul, Istanbul, Turkiye",,
51,51,Подробнее,French Palace,4.0,7 отзывов,Исторические достопримечательности,52. French Palace,"French Palace, Istanbul, Turkiye",,
52,52,,Alay Kosku,4.0,31 отзыв,Исторические достопримечательности,53. Alay Kosku,"Alay Kosku, Istanbul, Turkiye",41.0110444,28.978392067967988
53,53,Подробнее,Buyuk Yeni Han,4.5,12 отзывов,Исторические достопримечательности,54. Buyuk Yeni Han,"Buyuk Yeni Han, Istanbul, Turkiye",,
54,54,Посетить веб-сайт,Hatice Sultan Waterfront Mansion,5.0,4 отзыва,Исторические достопримечательности,55. Hatice Sultan Waterfront Mansion,"Hatice Sultan Waterfront Mansion, Istanbul, Turkiye",,
55,55,Позвонить,Surp Takavor Church,4.0,20 отзывов,Исторические достопримечательности,56. Surp Takavor Church,"Surp Takavor Church, Istanbul, Turkiye",40.98986935,29.02441071232777
56,56,Посетить веб-сайт,Aynalıkavak Kasrı,4.0,13 отзывов,Исторические достопримечательности,57. Aynalıkavak Kasrı,"Aynalıkavak Kasrı, Istanbul, Turkiye",41.0372674,28.9554478
57,57,"Gülhane parkı, Стамбул 34096 Турция",Gülhane Parkı Sarnıcı,5.0,4 отзыва,Исторические достопримечательности,58. Gülhane Parkı Sarnıcı,"Gülhane Parkı Sarnıcı, Istanbul, Turkiye",41.0105172,28.9788574
58,58,Подробнее,Ahmet Fethi Pasa Waterfront Mansion,4.5,4 отзыва,Исторические достопримечательности,59. Ahmet Fethi Pasa Waterfront Mansion,"Ahmet Fethi Pasa Waterfront Mansion, Istanbul, Turkiye",,
59,59,Подробнее,Mimar Sinan Turbesi,5.0,6 отзывов,Исторические достопримечательности,60. Mimar Sinan Turbesi,"Mimar Sinan Turbesi, Istanbul, Turkiye",41.0172273,28.963940573007967
60,60,Подробнее,Syrian Catholic Church,4.5,6 отзывов,Исторические достопримечательности,61. Syrian Catholic Church,"Syrian Catholic Church, Istanbul, Turkiye",,
61,61,Подробнее,Bebek Mosque,4.0,17 отзывов,Исторические достопримечательности,62. Bebek Mosque,"Bebek Mosque, Istanbul, Turkiye",41.07680705,29.044053680280047
62,62,Подробнее,The Virgin Mary Syriac Church,4.5,3 отзыва,Исторические достопримечательности,63. The Virgin Mary Syriac Church,"The Virgin Mary Syriac Church, Istanbul, Turkiye",,
63,63,Подробнее,Askenazi Synagogue,4.0,6 отзывов,Исторические достопримечательности,64. Askenazi Synagogue,"Askenazi Synagogue, Istanbul, Turkiye",,
64,64,Подробнее,ETZ Ahayim Synagogue,4.0,5 отзывов,Исторические достопримечательности,65. ETZ Ahayim Synagogue,"ETZ Ahayim Synagogue, Istanbul, Turkiye",,
65,65,,Complex Of Valide Sultan Mihrisah,5.0,6 отзывов,Исторические достопримечательности,66. Complex Of Valide Sultan Mihrisah,"Complex Of Valide Sultan Mihrisah, Istanbul, Turkiye",,
66,66,Подробнее,Surp Ohan Armenian Voskiperan Church,3.5,12 отзывов,Исторические достопримечательности,67. Surp Ohan Armenian Voskiperan Church,"Surp Ohan Armenian Voskiperan Church, Istanbul, Turkiye",,
67,67,"Turnacibasi Sokak, No:8 Beyoglu, Galatasaray, Стамбул 34433 Турция",Tarihi Galatasaray Hamami,3.0,289 отзывов,Исторические достопримечательности,68. Tarihi Galatasaray Hamami,"Tarihi Galatasaray Hamami, Istanbul, Turkiye",41.032803,28.9799592
68,68,Подробнее,Column of the Maiden,4.0,18 отзывов,Исторические достопримечательности,69. Column of the Maiden,"Column of the Maiden, Istanbul, Turkiye",,
69,69,"Kapalıçarşı, Zincirli Han, Стамбул 34126 Турция",Zincirli Han,4.0,2 отзыва,Исторические достопримечательности,70. Zincirli Han,"Zincirli Han, Istanbul, Turkiye",41.01137975,28.96886143833303
70,70,,Tarihi Rumeli Han,4.0,1 отзыв,Исторические достопримечательности,71. Tarihi Rumeli Han,"Tarihi Rumeli Han, Istanbul, Turkiye",,
71,71,"Yeniköy, Köybaşı Cd. No:83, 34464 Sarıyer/İstanbul, Стамбул 34457 Турция",Sait Halim Paşa Yalısı,5.0,1 отзыв,Исторические достопримечательности,72. Sait Halim Paşa Yalısı,"Sait Halim Paşa Yalısı, Istanbul, Turkiye",41.1204464,29.070001998919842
72,72,Подробнее,Bet Israel Synagogue,4.0,6 отзывов,Исторические достопримечательности,73. Bet Israel Synagogue,"Bet Israel Synagogue, Istanbul, Turkiye",,
73,73,Позвонить,Tarabya Alman Konsoloslugu,4.5,3 отзыва,Исторические достопримечательности,74. Tarabya Alman Konsoloslugu,"Tarabya Alman Konsoloslugu, Istanbul, Turkiye",,
74,74,"Felek Sokak No.1 Bereketzade Mahallesi, Стамбул 34421 Турция",Kamondo House Ruins,4.0,1 отзыв,Исторические достопримечательности,75. Kamondo House Ruins,"Kamondo House Ruins, Istanbul, Turkiye",,
75,75,Подробнее,Haskoy Maallem Synagogue,4.5,2 отзыва,Исторические достопримечательности,76. Haskoy Maallem Synagogue,"Haskoy Maallem Synagogue, Istanbul, Turkiye",,
76,76,"Bahçeköy / Doğanbey Cd., Стамбул 34473 Турция",Bahçeköy Sultan Mahmut Su Kemeri,4.5,2 отзыва,Исторические достопримечательности,77. Bahçeköy Sultan Mahmut Su Kemeri,"Bahçeköy Sultan Mahmut Su Kemeri, Istanbul, Turkiye",,
77,77,Позвонить,Surp Kevork,4.5,3 отзыва,Исторические достопримечательности,78. Surp Kevork,"Surp Kevork, Istanbul, Turkiye",41.0018646,28.9331468
78,78,"Yusuf Kamil Pasa Sokak No: 8 Moda, Kadikoy, Стамбул 34710 Турция",Istanbul Presbyterian Church,4.0,2 отзыва,Исторические достопримечательности,79. Istanbul Presbyterian Church,"Istanbul Presbyterian Church, Istanbul, Turkiye",40.9820854,29.025239971925764
79,79,Подробнее,Tomb Of Enrico Dandolo,,,Исторические достопримечательности,80. Tomb Of Enrico Dandolo,"Tomb Of Enrico Dandolo, Istanbul, Turkiye",,
80,80,"Ataturk Blv No.21 Cibali Mah, Стамбул 34083 Турция",Zeyrek Sarnıcı,3.0,1 отзыв,Исторические достопримечательности,81. Zeyrek Sarnıcı,"Zeyrek Sarnıcı, Istanbul, Turkiye",41.0202268,28.9579069
81,81,,Yenikoy Synagogue,4.0,2 отзыва,Исторические достопримечательности,82. Yenikoy Synagogue,"Yenikoy Synagogue, Istanbul, Turkiye",,
82,82,"Silahdar Aga Caddesi Eyupsultan, Стамбул 34050 Турция",Bahariye Mevlevihanesi,4.0,1 отзыв,Исторические достопримечательности,83. Bahariye Mevlevihanesi,"Bahariye Mevlevihanesi, Istanbul, Turkiye",41.055982650000004,28.939989102740242
83,83,"Kart Cinar Sokak No.6 Bereketzade Mahallesi, Стамбул ３４４２１ Турция",Ceneviz Sarayı,4.0,2 отзыва,Исторические достопримечательности,84. Ceneviz Sarayı,"Ceneviz Sarayı, Istanbul, Turkiye",41.02449405,28.972897340273775
84,84,"Binbirdirek Divan Yolu Caddesi No:15 Çemberlitaş, Стамбул 34110 Турция",Tomb Of Mahmut Ii,4.0,2 отзыва,Исторические достопримечательности,85. Tomb Of Mahmut Ii,"Tomb Of Mahmut Ii, Istanbul, Turkiye",,
85,85,Подробнее,Saint Jesus The Savior Church,4.5,2 отзыва,Исторические достопримечательности,86. Saint Jesus The Savior Church,"Saint Jesus The Savior Church, Istanbul, Turkiye",,
86,86,Подробнее,St. Trinite Church,3.5,2 отзыва,Исторические достопримечательности,87. St. Trinite Church,"St. Trinite Church, Istanbul, Turkiye",,
87,87,,Rumeli Han,4.0,1 отзыв,Исторические достопримечательности,88. Rumeli Han,"Rumeli Han, Istanbul, Turkiye",41.0350636,28.9808937
88,88,Подробнее,Simkeshane,3.5,2 отзыва,Исторические достопримечательности,89. Simkeshane,"Simkeshane, Istanbul, Turkiye",41.009199499999994,28.962293642873938
89,89,,Ankara Han (larando Han),5.0,1 отзыв,Исторические достопримечательности,90. Ankara Han (larando Han),"Ankara Han (larando Han), Istanbul, Turkiye",,
90,90,"Gülhane parkı, Стамбул 34096 Турция",Gülhane Parkı Sarnıcı Çeşmesi,4.0,2 отзыва,Исторические достопримечательности,91. Gülhane Parkı Sarnıcı Çeşmesi,"Gülhane Parkı Sarnıcı Çeşmesi, Istanbul, Turkiye",41.01050730539021,28.97884279512775
91,91,"Sümbül Efendi, Koca Mustafapaşa Cd. No:183, Стамбул 34107 Турция",Sümbül Efendi Mosque,4.0,1 отзыв,Исторические достопримечательности,92. Sümbül Efendi Mosque,"Sümbül Efendi Mosque, Istanbul, Turkiye",41.00335665,28.9286823
92,92,"Dızdarıye, Kervansaray Sk. Büyükçekmece, Стамбул 34500 Турция",Sultan Süleyman Kervansarayı,5.0,1 отзыв,Исторические достопримечательности,93. Sultan Süleyman Kervansarayı,"Sultan Süleyman Kervansarayı, Istanbul, Turkiye",,
93,93,"Mehmet Akif Ersoy Parki Binbirdirek Mh., Стамбул 34122 Турция",Palace Of Antiochos,3.0,1 отзыв,Исторические достопримечательности,94. Palace Of Antiochos,"Palace Of Antiochos, Istanbul, Turkiye",,
94,94,Посетить веб-сайт,sinan paşa medresesi,4.0,1 отзыв,Исторические достопримечательности,95. sinan paşa medresesi,"sinan paşa medresesi, Istanbul, Turkiye",,
95,95,"Zeyrek, Ataturk Blv. No.17 Fatih, Стамбул 34083 Турция",Hasan Pasa,,,Исторические достопримечательности,96. Hasan Pasa,"Hasan Pasa, Istanbul, Turkiye",40.9895405,29.027847117623374
96,96,"16 Mart Sehitleri Caddesi No 3, Стамбул 34134 Турция",March 16th Martyrs,4.0,1 отзыв,Исторические достопримечательности,97. March 16th Martyrs,"March 16th Martyrs, Istanbul, Turkiye",41.01298186114949,28.96077606795697
97,97,"Hacikadin Caddesi, No:11 Eminonu, Fatih, Стамбул 34000 Турция",Tarihi Hizirbey  Hamami,4.0,5 отзывов,Исторические достопримечательности,98. Tarihi Hizirbey  Hamami,"Tarihi Hizirbey  Hamami, Istanbul, Turkiye",,
98,98,"Ali kuşçu Fatih, Стамбул 34083 Турция",Tatbikat Cami,5.0,1 отзыв,Исторические достопримечательности,99. Tatbikat Cami,"Tatbikat Cami, Istanbul, Turkiye",41.084164900000005,28.90923681451684
99,99,,Golden gate,,,Исторические достопримечательности,100. Golden gate,"Golden gate, Istanbul, Turkiye",40.9932185,28.922431392578524
100,100,,Yenikapi Cibali Hamami,,,Исторические достопримечательности,101. Yenikapi Cibali Hamami,"Yenikapi Cibali Hamami, Istanbul, Turkiye",,
101,101,,Özel Merkez Rum Lisesi,3.0,1 отзыв,Исторические достопримечательности,102. Özel Merkez Rum Lisesi,"Özel Merkez Rum Lisesi, Istanbul, Turkiye",,
102,102,"Alemdar Cad No.22 Cankurtaran Mah, Стамбул 34110 Турция",Hamidiye Sebili,3.5,2 отзыва,Исторические достопримечательности,103. Hamidiye Sebili,"Hamidiye Sebili, Istanbul, Turkiye",41.0103612,28.9786076
103,103,Подробнее,Serefabad Kasri Su Deposu,,,Исторические достопримечательности,104. Serefabad Kasri Su Deposu,"Serefabad Kasri Su Deposu, Istanbul, Turkiye",,
104,104,"Orhaniye Cd. No:25 Hoca Pasa, Стамбул 34110 Турция",Muradiye Sebil Ve Cesmesi,,,Исторические достопримечательности,105. Muradiye Sebil Ve Cesmesi,"Muradiye Sebil Ve Cesmesi, Istanbul, Turkiye",,
105,105,,Port Of Theodosius,,,Исторические достопримечательности,106. Port Of Theodosius,"Port Of Theodosius, Istanbul, Turkiye",,
106,106,Посетить веб-сайт,Sultanahmet,,Понедельник,Исторические достопримечательности,107. Sultanahmet,"Sultanahmet, Istanbul, Turkiye",41.0041141,28.9769087
107,107,"Imrahor Ilyasbey Cad Yedikule Mah, Стамбул 34107 Турция",Kurkcubasi Haci Huseyin Aga Camii,4.0,1 отзыв,Исторические достопримечательности,108. Kurkcubasi Haci Huseyin Aga Camii,"Kurkcubasi Haci Huseyin Aga Camii, Istanbul, Turkiye",,
108,108,,Misir Apartment,4.0,1 отзыв,Исторические достопримечательности,109. Misir Apartment,"Misir Apartment, Istanbul, Turkiye",,
109,109,"Iskenderpaşa, Eski Sarachane Sk. No:1 Fatih, Стамбул 34080 Турция",Amcazade Huseyin Pasa Kulliyesi,,,Исторические достопримечательности,110. Amcazade Huseyin Pasa Kulliyesi,"Amcazade Huseyin Pasa Kulliyesi, Istanbul, Turkiye",,
110,110,,Horhor Cesmesi,4.0,2 отзыва,Исторические достопримечательности,111. Horhor Cesmesi,"Horhor Cesmesi, Istanbul, Turkiye",,
111,111,Подробнее,Mayor Synagogue,1.0,1 отзыв,Исторические достопримечательности,112. Mayor Synagogue,"Mayor Synagogue, Istanbul, Turkiye",,
112,112,,Buyuk Yeni Hani,2.5,2 отзыва,Исторические достопримечательности,113. Buyuk Yeni Hani,"Buyuk Yeni Hani, Istanbul, Turkiye",,
113,113,"Yavuz Sultan Selim, Ayakapi Cd. No:2 Fatih, Стамбул 34083 Турция",Cumhuriyet Cesmesi,3.5,2 отзыва,Исторические достопримечательности,114. Cumhuriyet Cesmesi,"Cumhuriyet Cesmesi, Istanbul, Turkiye",41.0278007,28.956384930042017
114,114,,Restos De Muralla Maritima,,,Исторические достопримечательности,115. Restos De Muralla Maritima,"Restos De Muralla Maritima, Istanbul, Turkiye",,
115,115,"Yavuz Sultan Selim, Seferikoz Sok. Fatih, Стамбул 34083 Турция",Sivrikoz Cesmesi,3.0,1 отзыв,Исторические достопримечательности,116. Sivrikoz Cesmesi,"Sivrikoz Cesmesi, Istanbul, Turkiye",,
116,116,"Hoca Giyasettin, Стамбул 34134 Турция",Rehabula Kadin Sebili,,,Исторические достопримечательности,117. Rehabula Kadin Sebili,"Rehabula Kadin Sebili, Istanbul, Turkiye",41.019722,28.9616858
117,117,,Turşucuzade Konağı,5.0,1 отзыв,Исторические достопримечательности,118. Turşucuzade Konağı,"Turşucuzade Konağı, Istanbul, Turkiye",,
118,118,"Suleymaniye Cad., Стамбул 34134 Турция",Seferaga Cesmesi,3.0,1 отзыв,Исторические достопримечательности,119. Seferaga Cesmesi,"Seferaga Cesmesi, Istanbul, Turkiye",,
119,119,,The Cibal Gate,,,Исторические достопримечательности,120. The Cibal Gate,"The Cibal Gate, Istanbul, Turkiye",,
120,120,,The Cibal Gate,,,Исторические достопримечательности,121. The Cibal Gate,"The Cibal Gate, Istanbul, Turkiye",,
121,121,,Arif Paşa Konağı,5.0,1 отзыв,Исторические достопримечательности,122. Arif Paşa Konağı,"Arif Paşa Konağı, Istanbul, Turkiye",,
122,122,Посетить веб-сайт,Soğukçeşme Military Junior High School,5.0,1 отзыв,Военные музеи,123. Soğukçeşme Military Junior High School,"Soğukçeşme Military Junior High School, Istanbul, Turkiye",,
123,123,,Nordstern Hanı,5.0,1 отзыв,Исторические достопримечательности,124. Nordstern Hanı,"Nordstern Hanı, Istanbul, Turkiye",,
124,124,Посетить веб-сайт,Zeyrek Çinili Hamam,,Вторник,Исторические достопримечательности,125. Zeyrek Çinili Hamam,"Zeyrek Çinili Hamam, Istanbul, Turkiye",,
125,125,,Passionis Travel,,Понедельник,Исторические достопримечательности,126. Passionis Travel,"Passionis Travel, Istanbul, Turkiye",,
126,126,"Kalpakcilar Cad. Sorguçlu Han No: 22, Стамбул 34126 Турция",Гранд-базар / Капалы Чарши,4.0,12594 отзыва,Блошиные и уличные рынки,1. Гранд-базар / Капалы Чарши,"Гранд-базар / Капалы Чарши, Istanbul, Turkiye",,
127,127,"Neşet Ömer Sk. No:1, Стамбул 34710 Турция",Kadıköy Çarşısı,4.5,159 отзывов,Блошиные и уличные рынки,2. Kadıköy Çarşısı,"Kadıköy Çarşısı, Istanbul, Turkiye",40.9901007,29.02335447897279
128,128,"Mimar Mehmet Ağa Cd. No:2, Стамбул 34122 Турция",Базар Араста,4.0,895 отзывов,Блошиные и уличные рынки,3. Базар Араста,"Базар Араста, Istanbul, Turkiye",41.0050861,28.9789782
129,129,"Uzuncayir Cd. 50/2, Стамбул 34722 Турция",Bazar de Kadikoy Sali Pazari,4.0,43 отзыва,Блошиные и уличные рынки,4. Bazar de Kadikoy Sali Pazari,"Bazar de Kadikoy Sali Pazari, Istanbul, Turkiye",40.99870099771247,29.050418469381693
130,130,"Medrese Çk. No:4, Стамбул 34120 Турция",Sahaflar Carsisi,4.0,79 отзывов,Блошиные и уличные рынки,5. Sahaflar Carsisi,"Sahaflar Carsisi, Istanbul, Turkiye",40.9870491,29.0285152
